Visual Cues for Self Regulation;Visual cues are incredibly helpful for neurodivergent children. Visual supports for self-regulation may include an image of a stop light or stop sign,  list (written or pictures) of calming strategies,  rules and expectations,  feelings charts,  emotional thermometer,  etc.;Your child will use the visual as a reminder to stop and think before making an unexpected choice.;Some pre-made visuals can be found here: https://www.earlywood.org/Page/549 ;Use this in combination with other self-regulation strategies.;1;0
Break down tasks into small steps;Break down the steps of a task into its smallest discrete steps.;Your child will increase their skills as they practice.;Tech Tools for Task Analysis: https://www.parentingspecialneeds.org/article/break-it-down-tech-tools-for-task-analysis/ ;Pair with other strategies and reinforcement.;4
Visuals;Create visuals for regular routines.;Your child will reference the visual to follow a familiar routine.;Visual supports for routines: https://challengingbehavior.cbcs.usf.edu/docs/Routine_cards_home.pdf ;Pair with other strategies and reinforcement.;4
Alarms;Use alarms on phones or computers to stay on track.;Your child will use the alarms to stay on track. ;More strategies for improving working memory: https://learningworksforkids.com/2015/11/9-low-tech-tips-and-strategies-to-improve-working-memory-skills/ ;Pair with other strategies and reinforcement.;4
Repeat back;Have your child repeat directions given verbally back to you.;Your child will be able to remind 2+ step directions.;More strategies for improving working memory: https://learningworksforkids.com/2015/11/9-low-tech-tips-and-strategies-to-improve-working-memory-skills/ ;Pair with other strategies and reinforcement.;4
Use a self monitoring checklist;Create a checklist for your child to reference when working on a task.;Your child will use a checklist to stay on track.;Tech tools for self-management: https://kghautismservices.com/8-apps-to-help-improve-self-management/ ;Pair with other strategies and reinforcement.;5
Use timers;Use timers to set expectations for work time.;Your child will work for the set amount of time.;Tech tools for self-management: https://kghautismservices.com/8-apps-to-help-improve-self-management/ ;Pair with other strategies and reinforcement.;5
Self Talk;It can be hard to stay motivated on tasks. Positive self talk can make a huge difference! Teach your child specific phrases they can use to get themselves ready to accomplish a task.;Your child will use positive self-talk and complete a task.;Positive self talk information: https://www.thepathway2success.com/how-to-teach-positive-self-talk/ ;Pair with other strategies and reinforcement.;5
Goal setting;Set SMART goals for accomplishing tasks.;Your child will set goals to accomplish tasks.;Video for kids to set smart goals: https://www.youtube.com/watch?v=BAii6YG-nps ;Pair with other strategies and reinforcement.;5
Discuss the steps;Discuss the steps on a to do list and highlight important info.;Your child will follow the to-do list.;Tech tools for self-management: https://kghautismservices.com/8-apps-to-help-improve-self-management/ ;Pair with other strategies and reinforcement.;6
Visual schedules;Use visual schedules and checklists to help your child stay on task. ;Your child will follow the schedule or checklist.;Picture schedules: https://neurodiverging.com/picture-schedules-4-ways/ ;Pair with other strategies and reinforcement.;6
Draw it out;Draw or sketch out a plan of action to prepare for an upcoming event or task.;Your child will feel prepared for a new task.;Some pre-made visuals can be found here: https://www.earlywood.org/Page/549 ;Pair with other strategies and reinforcement.;6
Give opportunities to practice;Practice breaking down a simple task into discrete steps together. Example: Talk about how to break down the act of making a PBJ into its smallest parts/tasks.;Your child will increase their skills as they practice.;Tech Tools for Task Analysis: https://www.parentingspecialneeds.org/article/break-it-down-tech-tools-for-task-analysis/ ;Pair with other strategies and reinforcement.;6
Rocketship;Use a visual of a rocketship and count down to blast off as a signal to begin work.;Your child will initiate a task after liftoff.;Scroll to the bottom for ideas for parents: https://www.thepathway2success.com/interventions-for-executive-functioning-challenges-task-initiation/ ;Pair with reinforcement.;7
First-then visual;Use a visual to show a child what must be done first before they can complete a preferred activity.;Your child will complete the first task before moving on to the second.;Some pre-made visuals can be found here: https://www.earlywood.org/Page/549 ;Pair with reinforcement.;7
To do list;Break down tasks into small steps with an organized to do list.;Your child will improve their organizational skills.;Task initiation supports: https://www.tiimoapp.com/blog/adhd-task-initiation/ ;Model how to break a large task into smaller tasks while you create the to do lists for your child. Eventually let your child tell you how to break down the task as you write. In time,  they will be able to break down tasks on a to do list by themselves.;7
Premack their work;Alternate preferred and non-preferred tasks.;Your child will be able to initiate a non-preferred task after completing a more preferred task.;How to premack: https://besdc.com/premack-principle-a-tool-to-help-your-kids-to-start-or-finish-an-activity/ ;Pair this with reinforcement.;7
Use labels;Use labels to help your child know where their belongings are located.;Your child will increase their ability to maintain an organizational system.;How to teach organizational skills: https://autismadhdconnection.com/9-tips-to-teach-your-autistic-and-adhd-child-or-teen-organization-skills/ ;Model how to use the organizational system frequently.;8
Teach organization;Organization is a struggle for many kids with executive dysfunction. It doesn't come naturally,  and many neurodivergent kids need to be explicitly shown/taught organizational skills. Model how to stay organized step by step for your child. Example: Show them where items go in their folder,  show them how to add papers into a 3 ring binder,  show them how to clean their room properly,  etc.;Your child will improve their organizational skills.;How to teach organizational skills: https://autismadhdconnection.com/9-tips-to-teach-your-autistic-and-adhd-child-or-teen-organization-skills/ ;Model how to stay organized and provide reinforcement when your child follows expectations with organization.;8
Checklists;Create checklists for regular cleaning and organizational routines. Have your child complete the checklist as they move through each task.;Your child will follow a checklist to stay organized.;Chore charts for neurodivergent kids: https://getgoally.com/blog/create-chore-charts-for-kids-with-adhd-or-autism-that-work/ ;Model how to use the checklist with your child. Do their chores with them one day and have them check off the tasks one by one as they go. Provide praise and reinforcement for using the checklist.;8
Purchase organizational tools;It is very challenging for neurodivergent children to know how to stay organized as it doesn't come innately for kids who struggle with organization. Buying organizers and teaching your child how to put the tools to use is invaluable.;Your child will learn how to use organizational tools.;Some low cost organizational tools: https://www.understood.org/en/articles/6-low-cost-organization-tools-for-kids ;Add labels to the organizers and re-teach your child how to use them.;8
Reinforcement Organization;Provide positive reinforcement for staying organized using a preferred reinforcer.;Your child will be incentivized to maintain an organization system.;Ideas for reinforcement: https://www.verywellfamily.com/positive-reinforcement-child-behavior-1094889    Preference assessment example: https://www.mayinstitute.org/pdfs/presentations/PBIS2019-T-A3C-Preference%20Assessment%20Packet.pdf;Be sure that the reinforcer you are using is currently preferred. Kids' preferred reinforcers change frequently  even sometimes several times in one day!;8
